EC number	KO
3.2.1.106	K01228
3.2.1.108	K01229
3.2.1.62	K01229
3.2.1.113	K01230
3.2.1.114	K01231
3.2.1.122	K01232
3.2.1.132	K01233
3.2.1.139	K01235
3.2.1.141	K01236
3.2.1.147	K01237
3.2.2.1	K01239
3.2.2.3	K01240
3.2.2.4	K01241
3.2.2.6	K01242
2.4.99.20	K01242
3.2.2.9	K01243
3.2.2.16	K01244
3.2.2.19	K01245
3.2.2.20	K01246
3.2.2.21	K01247
3.13.2.1	K01251
3.3.2.1	K01252
6.3.2.14	K01252
3.3.2.9	K01253
3.3.2.6	K01254
3.4.11.1	K01255
3.4.11.2	K01256
3.4.11.3	K01257
3.4.11.4	K01258
3.4.11.5	K01259
3.4.11.6	K01260
3.4.11.7	K01261
3.4.11.9	K01262
3.4.11.15	K01264
3.4.11.18	K01265
3.4.11.19	K01266
3.4.11.21	K01267
3.4.11.22	K01268
3.4.13.9	K01271
3.4.13.19	K01273
3.4.14.1	K01275
3.4.14.2	K01276
3.4.14.4	K01277
3.4.14.5	K01278
3.4.14.9	K01279
3.4.14.10	K01280
3.4.14.11	K01281
3.4.15.1	K01283
3.4.15.5	K01284
3.4.16.2	K01285
3.4.16.4	K01286
3.4.16.6	K01288
3.4.17.2	K01291
3.4.17.3	K01292
3.4.17.4	K01293
3.4.17.10	K01294
3.4.17.11	K01295
3.4.17.12	K01296
3.4.17.13	K01297
3.4.17.15	K01298
3.4.17.19	K01299
3.4.17.20	K01300
3.4.17.21	K01301
3.4.19.1	K01303
3.4.19.3	K01304
3.4.19.6	K01306
3.4.19.9	K01307
3.4.19.11	K01308
3.4.19.12	K01309
3.4.21.1	K01310
3.4.21.2	K01311
3.4.21.4	K01312
3.4.21.5	K01313
3.4.21.6	K01314
3.4.21.7	K01315
3.4.21.9	K01316
3.4.21.10	K01317
3.4.21.19	K01318
3.4.21.20	K01319
3.4.21.21	K01320
3.4.21.22	K01321
3.4.21.26	K01322
3.4.21.27	K01323
3.4.21.34	K01324
3.4.21.35	K01325
3.4.21.36	K01326
3.4.21.37	K01327
3.4.21.38	K01328
3.4.21.39	K01329
3.4.21.41	K01330
3.4.21.42	K01331
3.4.21.43	K01332
3.4.21.45	K01333
3.4.21.46	K01334
3.4.21.47	K01335
3.4.21.48	K01336
3.4.21.50	K01337
3.4.21.53	K01338
3.4.21.54	K01339
3.4.21.59	K01340
3.4.21.61	K01341
3.4.21.62	K01342
3.4.21.68	K01343
3.4.21.69	K01344
3.4.21.70	K01345
3.4.21.71	K01346
3.4.21.72	K01347
3.4.21.73	K01348
3.4.21.75	K01349
3.4.21.76	K01350
3.4.21.77	K01351
3.4.21.78	K01352
3.4.21.79	K01353
3.4.21.83	K01354
